index	oReact_retrieval	xReact_retrieval
dia550_utt8	Others feel happy, proud, impressed	Nico feels happy, proud, impressed
dia550_utt9	Others feel determined, meaningless, weak	Jonah feels determined, meaningless, weak
dia551_utt0	Others feel great, none, fulfilled.	Glenn feels great, none, fulfilled.
dia551_utt1	Others feel confused, none, scared	Bo feels confused, none, scared
dia551_utt2	Others feel none, none, happy.	Glenn feels none, none, happy.
dia551_utt3	Others feel entertained, scared, frightened	Glenn feels entertained, scared, frightened
dia551_utt4	Others feel like their knowledge is important, upset, despondent	Bo feels like their knowledge is important, upset, despondent
dia551_utt5	Others feel determined, wondering, intrigued	Glenn feels determined, wondering, intrigued
dia551_utt6	Others feel happy, relief, content	Bo feels happy, relief, content
dia551_utt7	Others feel like they made a good decision., glad to have been given importance, none	superstore person3 feels like they made a good decision., glad to have been given importance, none
dia551_utt8	Others feel that he's been as thorough as can be., none, invested in the outcome or any new developments.	Bo feels that he's been as thorough as can be., none, invested in the outcome or any new developments.
dia551_utt9	Others feel none, motivated, none	Bo feels none, motivated, none
dia551_utt10	Others feel happy, relief, relieved.	Glenn feels happy, relief, relieved.
dia551_utt11	Others feel none, none, a burden	superstore person3 feels none, none, a burden
dia551_utt12	Others feel fullness life, none, satisfied	Glenn feels fullness life, none, satisfied
dia552_utt0	Others feel complete, none, none	Cheyenne feels complete, none, none
dia552_utt1	Others feel glad, interested, amused	Cheyenne feels glad, interested, amused
dia552_utt2	Others feel none, satisfied, sated	Cheyenne feels none, satisfied, sated
dia552_utt3	Others feel accomplished, informed, happy and being helped	Amy feels accomplished, informed, happy and being helped
dia552_utt4	Others feel satisfied, pretty, none	Cheyenne feels satisfied, pretty, none
dia552_utt5	Others feel happy, excited, happy	Cheyenne feels happy, excited, happy
dia552_utt6	Others feel horrible, violent, injured	Amy feels horrible, violent, injured
dia552_utt7	Others feel full and refreshed, full, none	Cheyenne feels full and refreshed, full, none
dia552_utt8	Others feel hopeful, worried, worried that the problem is serious	Cheyenne feels hopeful, worried, worried that the problem is serious
dia552_utt9	Others feel none, satisfied, none	superstore person4 feels none, satisfied, none
dia552_utt10	Others feel happy, content, full	Amy feels happy, content, full
dia552_utt11	Others feel surprised if the phone was lost for a long time an there were very little chance of getting it back, happy, chatty	Amy feels surprised if the phone was lost for a long time an there were very little chance of getting it back, happy, chatty
dia553_utt0	Others feel happy that person will be getting better., thankful, grateful, special	Cheyenne feels happy that person will be getting better., thankful, grateful, special
dia553_utt1	Others feel happy, none, useful	Jonah feels happy, none, useful
dia553_utt2	Others feel happy., full, none	superstore person1 feels happy., full, none
dia553_utt3	Others feel helpful, worried, helpful	Nico feels helpful, worried, helpful
dia553_utt4	Others feel none, none, refreshed	Jonah feels none, none, refreshed
dia553_utt5	Others feel none, none, surprised, influenced	Nico feels none, none, surprised, influenced
dia554_utt0	Others feel none, upset, happy	Garrett feels none, upset, happy
dia554_utt1	Others feel grateful to personx, happy, hopeful	Garrett feels grateful to personx, happy, hopeful
dia554_utt2	Others feel none, avoided, relief	Dina feels none, avoided, relief
dia554_utt3	Others feel enjoyment after a playdate, happy to help someone, none	Garrett feels enjoyment after a playdate, happy to help someone, none
dia554_utt4	Others feel enjoyment after a playdate, happy to help someone, none	Garrett feels enjoyment after a playdate, happy to help someone, none
dia554_utt5	Others feel engaged, challenged, angry	Dina feels engaged, challenged, angry
dia554_utt6	Others feel future problem, none, relieved	Dina feels future problem, none, relieved
dia555_utt0	Others feel hurt, sick, bad	superstore person3 feels hurt, sick, bad
dia555_utt1	Others feel productive, appreciative, none	superstore person3 feels productive, appreciative, none
dia555_utt2	Others feel productive, appreciative, none	Bo feels productive, appreciative, none
dia555_utt3	Others feel helpless, caught off guard, afraid	Glenn feels helpless, caught off guard, afraid
dia555_utt4	Others feel none, none, happy.	Glenn feels none, none, happy.
dia555_utt5	Others feel bullied, also angry., tired and painful.	Glenn feels bullied, also angry., tired and painful.
dia555_utt6	Others feel none, excited to save money, relieved they're in time	Bo feels none, excited to save money, relieved they're in time
dia560_utt0	Others feel hurt, beautiful, sexy	Cheyenne feels hurt, beautiful, sexy
dia560_utt1	Others feel happy, pleased, a sense of release	superstore person2 feels happy, pleased, a sense of release
dia560_utt2	Others feel none, good, disappointed	Bo feels none, good, disappointed
dia560_utt3	Others feel satisfied, happy, happy	superstore person2 feels satisfied, happy, happy
dia560_utt4	Others feel encouraged, like better friends, satisfied	Bo feels encouraged, like better friends, satisfied
dia560_utt5	Others feel alive, hopeful, none	Amy feels alive, hopeful, none
dia560_utt6	Others feel contented, happy, pleased	Glenn feels contented, happy, pleased
dia560_utt7	Others feel very ill, none, satisfied	Bo feels very ill, none, satisfied
dia560_utt8	Others feel like they made a good decision., glad to have been given importance, none	Glenn feels like they made a good decision., glad to have been given importance, none
dia560_utt9	Others feel inadequate, happy, irritated	Glenn feels inadequate, happy, irritated
dia560_utt10	Others feel none, none, none	Amy feels none, none, none
dia560_utt11	Others feel wondering, none, intrigued	Glenn feels wondering, none, intrigued
dia561_utt0	Others feel contented, like they are letting them know they are safe, grateful	Glenn feels contented, like they are letting them know they are safe, grateful
dia561_utt1	Others feel thankful, connected, satisfied	Glenn feels thankful, connected, satisfied
dia561_utt2	Others feel like they made a good decision., glad to have been given importance, none	Amy feels like they made a good decision., glad to have been given importance, none
dia562_utt0	Others feel none, ready, communicative	Garrett feels none, ready, communicative
dia562_utt1	Others feel relieved, relieved, burdened	Dina feels relieved, relieved, burdened
dia562_utt2	Others feel none, happy, upset	Garrett feels none, happy, upset
dia562_utt3	Others feel informative, none, satisfied	Dina feels informative, none, satisfied
dia562_utt4	Others feel worthless, depressed, upset	Dina feels worthless, depressed, upset
dia562_utt5	Others feel helpful, helpful, none	Dina feels helpful, helpful, none
dia562_utt6	Others feel heroic, brave, strong	Dina feels heroic, brave, strong
dia563_utt0	Others feel grateful, generous, good	Cheyenne feels grateful, generous, good
dia563_utt1	Others feel happy, content, full	Glenn feels happy, content, full
dia563_utt2	Others feel warm, loved, fear	Glenn feels warm, loved, fear
dia563_utt3	Others feel none, happy, good	Bo feels none, happy, good
dia563_utt4	Others feel interested, proud, accomplished	Bo feels interested, proud, accomplished
dia563_utt5	Others feel none, none, none	Bo feels none, none, none
dia563_utt6	Others feel happy, hurt, unwanted	Bo feels happy, hurt, unwanted
dia563_utt7	Others feel curious, happy, strong	Glenn feels curious, happy, strong
dia563_utt8	Others feel none, none, happy	Amy feels none, none, happy
dia564_utt0	Others feel cared about., loved., fear	Janet feels cared about., loved., fear
dia564_utt1	Others feel Upset, avenged., none	Janet feels Upset, avenged., none
dia564_utt2	Others feel connected, none, good about x	Janet feels connected, none, good about x
dia564_utt3	Others feel proud, none, none	Janet feels proud, none, none
dia564_utt4	Others feel loving, elated, joyous	Nico feels loving, elated, joyous
dia564_utt5	Others feel loving, elated, joyous	Jonah feels loving, elated, joyous
dia564_utt6	Others feel pleased, content, full	Jonah feels pleased, content, full
dia564_utt7	Others feel full of bad emotions, sneaky, eager	Sandra feels full of bad emotions, sneaky, eager
dia564_utt8	Others feel like they made a good decision., glad to have been given importance, good	Sandra feels like they made a good decision., glad to have been given importance, good
dia566_utt0	Others feel upset, none, none	Jonah feels upset, none, none
dia566_utt1	Others feel anxious, good, nervous	Jonah feels anxious, good, nervous
dia566_utt2	Others feel none, none, wants to get to class	Garrett feels none, none, wants to get to class
dia566_utt3	Others feel fufilled, silly and entertained, interested	Jonah feels fufilled, silly and entertained, interested
dia566_utt4	Others feel healthy, relieved, happy	Amy feels healthy, relieved, happy
dia566_utt5	Others feel thankful, grateful, pride	Amy feels thankful, grateful, pride
dia566_utt6	Others feel cared for, powerful, special	Garrett feels cared for, powerful, special
dia566_utt7	Others feel proud of his work, none, none	Dina feels proud of his work, none, none
dia567_utt0	Others feel none, none, none	Jeff feels none, none, none
dia567_utt1	Others feel informative, none, jealous	Jeff feels informative, none, jealous
dia567_utt2	Others feel proud, none, accomplished	Nico feels proud, none, accomplished
dia567_utt3	Others feel happy, none, excited	Jeff feels happy, none, excited
dia567_utt4	Others feel sad., optimistic, excited	Glenn feels sad., optimistic, excited
dia567_utt5	Others feel important, powerful, famous	Jeff feels important, powerful, famous
dia567_utt6	Others feel accomplished., none, caring	Glenn feels accomplished., none, caring
dia567_utt7	Others feel none, none, accomplished	Glenn feels none, none, accomplished
dia567_utt8	Others feel none, ready to sleep, none	Glenn feels none, ready to sleep, none
dia567_utt9	Others feel informed, content, reassured	Glenn feels informed, content, reassured
dia570_utt0	Others feel satisfied., good, like a chef	Cheyenne feels satisfied., good, like a chef
dia570_utt1	Others feel like they made a good decision., glad to have been given importance, happy	Cheyenne feels like they made a good decision., glad to have been given importance, happy
dia570_utt2	Others feel none, more aware, relieved.	Jonah feels none, more aware, relieved.
dia570_utt3	Others feel excited, satisfied, good	Jonah feels excited, satisfied, good
dia570_utt4	Others feel like they made a good decision., glad to have been given importance, thankful	Cheyenne feels like they made a good decision., glad to have been given importance, thankful
dia571_utt0	Others feel none, none, none	Garrett feels none, none, none
dia571_utt1	Others feel none, none, proud	Garrett feels none, none, proud
dia571_utt2	Others feel admired, loved, happy	Garrett feels admired, loved, happy
dia571_utt3	Others feel none, none, loving	Garrett feels none, none, loving
dia571_utt4	Others feel upset, none, none	Garrett feels upset, none, none
dia571_utt5	Others feel angry for receiving the wrong food, satisfied, hungry	Garrett feels angry for receiving the wrong food, satisfied, hungry
dia571_utt6	Others feel like will gain knowledge, none, grateful	Dina feels like will gain knowledge, none, grateful
dia571_utt7	Others feel informative, persuasive, none	Dina feels informative, persuasive, none
dia571_utt8	Others feel like will gain knowledge, none, grateful	Dina feels like will gain knowledge, none, grateful
dia571_utt9	Others feel annoyed with the smell, nauseated, annoyed	Dina feels annoyed with the smell, nauseated, annoyed
dia573_utt0	Others feel accomplished, deceitful, happy	Dina feels accomplished, deceitful, happy
dia573_utt1	Others feel relieved, optimistic, curious	Dina feels relieved, optimistic, curious
dia573_utt2	Others feel none, none, none	Amy feels none, none, none
dia573_utt3	Others feel powerless, upset, happy	Amy feels powerless, upset, happy
dia573_utt4	Others feel none, none, relaxed	Dina feels none, none, relaxed
dia573_utt5	Others feel pain hurt, none, none	Amy feels pain hurt, none, none
dia573_utt6	Others feel fresh, none, none	Dina feels fresh, none, none
dia573_utt7	Others feel friendly, happy, happy	Amy feels friendly, happy, happy
dia574_utt0	Others feel happy, relaxed and happy, happy	Jonah feels happy, relaxed and happy, happy
dia574_utt1	Others feel none, none, none	Jonah feels none, none, none
dia574_utt2	Others feel angry, satisfied, good about themselves	Cheyenne feels angry, satisfied, good about themselves
dia574_utt3	Others feel like they made a good decision., glad to have been given importance, fulfilled	Jonah feels like they made a good decision., glad to have been given importance, fulfilled
dia574_utt4	Others feel content, happy, satisfied	Jonah feels content, happy, satisfied
dia574_utt5	Others feel like they made a good decision., glad to have been given importance, none	Cheyenne feels like they made a good decision., glad to have been given importance, none
dia574_utt6	Others feel none, none, stuffed	Jonah feels none, none, stuffed
dia575_utt0	Others feel like they made a good decision., glad to have been given importance, none	Jonah feels like they made a good decision., glad to have been given importance, none
dia575_utt1	Others feel relieved, thankful, accomplished	Jonah feels relieved, thankful, accomplished
dia575_utt2	Others feel like they made a good decision., glad to have been given importance, none	Jonah feels like they made a good decision., glad to have been given importance, none
dia575_utt3	Others feel none, regretful, sunburned	Dina feels none, regretful, sunburned
dia578_utt0	Others feel like they had something tasty, responsible, satiated	Amy feels like they had something tasty, responsible, satiated
dia578_utt1	Others feel gratitude, uncomfortable, judgemental	Glenn feels gratitude, uncomfortable, judgemental
dia578_utt2	Others feel nervous, wondering, waiting	Glenn feels nervous, wondering, waiting
dia578_utt3	Others feel proud, capable, satisfied	Glenn feels proud, capable, satisfied
dia578_utt4	Others feel authoritative, none, kind	Amy feels authoritative, none, kind
dia578_utt6	Others feel organized, accomplished, complusive	Nico feels organized, accomplished, complusive
dia578_utt7	Others feel none, none, terrible	Glenn feels none, none, terrible
dia578_utt8	Others feel occupied, ready, useful	Glenn feels occupied, ready, useful
dia578_utt9	Others feel good, exhausted of energy., none	Glenn feels good, exhausted of energy., none
dia578_utt10	Others feel content, consumeristic, happy to have some money	Amy feels content, consumeristic, happy to have some money
dia578_utt11	Others feel pain hurt, none, none	Glenn feels pain hurt, none, none
dia579_utt0	Others feel good, great, none	Garrett feels good, great, none
dia579_utt1	Others feel relieved, helpful, relieved	Garrett feels relieved, helpful, relieved
dia579_utt2	Others feel none, none, revitalized	Dina feels none, none, revitalized
dia579_utt3	Others feel satiated, surprised., pain	Garrett feels satiated, surprised., pain
dia579_utt4	Others feel accomplished, none, happy to do business	Garrett feels accomplished, none, happy to do business
dia579_utt5	Others feel none, none, content	Garrett feels none, none, content
dia579_utt6	Others feel tough, guilty, tired	Dina feels tough, guilty, tired
dia580_utt0	Others feel thankful, happy and relaxed., satisfied	Amy feels thankful, happy and relaxed., satisfied
dia580_utt1	Others feel fulfilled, more knowing, sympathetic	Nico feels fulfilled, more knowing, sympathetic
dia580_utt2	Others feel safe, safe, relieved	Nico feels safe, safe, relieved
dia580_utt3	Others feel good, great, none	Amy feels good, great, none
dia580_utt4	Others feel content, consumeristic, happy to have some money	Amy feels content, consumeristic, happy to have some money
dia580_utt5	Others feel happy, cared for, loved	Amy feels happy, cared for, loved
dia580_utt6	Others feel proud too., competent, accomplished	Nico feels proud too., competent, accomplished
dia581_utt0	Others feel none, relieved, loved	Glenn feels none, relieved, loved
dia581_utt1	Others feel satisfied, none, none	Glenn feels satisfied, none, none
dia581_utt2	Others feel grateful, like they are obtaining pertinent information, determined	superstore person2 feels grateful, like they are obtaining pertinent information, determined
dia581_utt3	Others feel happy and loved, better after the event., angry	superstore person2 feels happy and loved, better after the event., angry
dia581_utt4	Others feel none, worried, vengeful	Glenn feels none, worried, vengeful
dia581_utt5	Others feel relieved., happy, relieved	Janet feels relieved., happy, relieved
dia581_utt6	Others feel responsible, proud of themselves, hungry because the dish is very appetizing	Janet feels responsible, proud of themselves, hungry because the dish is very appetizing
dia581_utt7	Others feel none, none, refreshed	superstore person2 feels none, none, refreshed
dia581_utt8	Others feel happy, happy, anxious	superstore person2 feels happy, happy, anxious
dia581_utt9	Others feel knowledgeable, included, connected to others	superstore person2 feels knowledgeable, included, connected to others
dia581_utt10	Others feel satisfied, happy, none	Glenn feels satisfied, happy, none
dia581_utt11	Others feel relieved., none, none	superstore person2 feels relieved., none, none
dia582_utt0	Others feel helpful, attractive, none	Jonah feels helpful, attractive, none
dia582_utt1	Others feel none, none, focused	Amy feels none, none, focused
dia582_utt2	Others feel hopeful, informed, free to travel	Amy feels hopeful, informed, free to travel
dia582_utt3	Others feel appreciative, excited, angry	Jonah feels appreciative, excited, angry
dia582_utt4	Others feel grateful, none, good	Jonah feels grateful, none, good
dia582_utt5	Others feel satisfied, fulfilled, satisfied.	Amy feels satisfied, fulfilled, satisfied.
dia582_utt6	Others feel hurt, beautiful, sexy	Amy feels hurt, beautiful, sexy
dia582_utt7	Others feel hopeful as well, none, none	Jonah feels hopeful as well, none, none
dia582_utt8	Others feel happy., happy too., good, happy and satisfied	Jonah feels happy., happy too., good, happy and satisfied
dia583_utt0	Others feel orderly, none, none	Jeff feels orderly, none, none
dia583_utt1	Others feel responsible, helpful., good	Jeff feels responsible, helpful., good
dia583_utt2	Others feel inquisitive, atttentive, weak	Jonah feels inquisitive, atttentive, weak
dia583_utt3	Others feel confused, annoyed, frustrated	Jonah feels confused, annoyed, frustrated
dia583_utt4	Others feel cared for, none, satisfied	Jonah feels cared for, none, satisfied
dia583_utt5	Others feel full, happy, proud	Jonah feels full, happy, proud
dia583_utt6	Others feel happy, comfortable, happy	Amy feels happy, comfortable, happy
dia583_utt7	Others feel amazed, happy, calm	Dina feels amazed, happy, calm
dia583_utt8	Others feel inquisitive, atttentive, bad	Jonah feels inquisitive, atttentive, bad
dia583_utt9	Others feel none, like a mean person, remorseful	Garrett feels none, like a mean person, remorseful
dia583_utt10	Others feel none, none, none	Dina feels none, none, none
dia584_utt0	Others feel warm, god about themselves, excited	Glenn feels warm, god about themselves, excited
dia584_utt1	Others feel none, none, fat	Dina feels none, none, fat
dia584_utt2	Others feel scared, disgusted, angry, upset	Dina feels scared, disgusted, angry, upset
dia584_utt3	Others feel full, full and happy after eating, satisfied	Dina feels full, full and happy after eating, satisfied
dia584_utt4	Others feel thankful, thankful, horrible	superstore person3 feels thankful, thankful, horrible
dia584_utt5	Others feel smart, helpful, none	Dina feels smart, helpful, none
dia584_utt6	Others feel none, drained., joy	Dina feels none, drained., joy
dia584_utt7	Others feel needed, productive, capable of flying.	Glenn feels needed, productive, capable of flying.
dia584_utt8	Others feel none, mad, none	Glenn feels none, mad, none
dia584_utt9	Others feel happy, happy, none	Dina feels happy, happy, none
dia584_utt10	Others feel responsible and dutiful, powerful, none	Dina feels responsible and dutiful, powerful, none
dia584_utt11	Others feel happy and proud to be a new owner of the puppy, overjoyed on receiving the gift, giving	Glenn feels happy and proud to be a new owner of the puppy, overjoyed on receiving the gift, giving
dia584_utt12	Others feel worried for the person, excited, happy for the person	Glenn feels worried for the person, excited, happy for the person
dia587_utt0	Others feel pleased, good they found someone for the job, competent	Glenn feels pleased, good they found someone for the job, competent
dia587_utt1	Others feel grateful, good, happy	Glenn feels grateful, good, happy
dia587_utt2	Others feel glad, helpful, satisfied	Amy feels glad, helpful, satisfied
dia587_utt3	Others feel none, rich, happy	Amy feels none, rich, happy
dia587_utt4	Others feel authoritative, proud of his abilities., sad	Amy feels authoritative, proud of his abilities., sad
dia587_utt5	Others feel satisfied., he would feel neutral, concerned.	Glenn feels satisfied., he would feel neutral, concerned.
dia587_utt6	Others feel companionship., touched, accomplished	Glenn feels companionship., touched, accomplished
dia587_utt8	Others feel powerful, embraced, happy	Glenn feels powerful, embraced, happy
dia587_utt9	Others feel good for showing them, happy., none	Glenn feels good for showing them, happy., none
dia589_utt0	Others feel neutral, happy and comforted, none	Glenn feels neutral, happy and comforted, none
dia589_utt1	Others feel anxious, stressed, irritated	Dina feels anxious, stressed, irritated
dia589_utt2	Others feel excited, hopeful, none	Glenn feels excited, hopeful, none
dia589_utt3	Others feel great, upset, none	Glenn feels great, upset, none
dia589_utt4	Others feel none, none, educated	Dina feels none, none, educated
dia589_utt5	Others feel excited, hopeful, none	superstore person3 feels excited, hopeful, none
dia589_utt6	Others feel horrible, sorry, embarrassed	superstore person3 feels horrible, sorry, embarrassed
dia589_utt7	Others feel overjoyed, in love, none	Glenn feels overjoyed, in love, none
dia589_utt8	Others feel none, nervous, tired	Glenn feels none, nervous, tired
dia589_utt9	Others feel extremely happy, grateful, none	Glenn feels extremely happy, grateful, none
dia589_utt10	Others feel surprised, happy, relieved	Dina feels surprised, happy, relieved
dia591_utt0	Others feel happy, glad, helpful	superstore person4 feels happy, glad, helpful
dia591_utt1	Others feel appreciateive, appreciated, needed	Nico feels appreciateive, appreciated, needed
dia591_utt2	Others feel none, surprised, offended	Nico feels none, surprised, offended
dia591_utt3	Others feel connected, none, hesitant	Nico feels connected, none, hesitant
dia591_utt4	Others feel sneaky, guilty, ashamed	Nico feels sneaky, guilty, ashamed
dia591_utt5	Others feel none, none, jealous	superstore person4 feels none, none, jealous
dia591_utt6	Others feel none, none, happy	Nico feels none, none, happy
dia591_utt7	Others feel none, satisfied, anxious about the pain	Nico feels none, satisfied, anxious about the pain
dia591_utt8	Others feel nothing, comfortable, ready	Nico feels nothing, comfortable, ready
dia591_utt9	Others feel friendly, happy, happy	Nico feels friendly, happy, happy
dia592_utt0	Others feel nervous, excited, informed	Dina feels nervous, excited, informed
dia592_utt1	Others feel accomplished, happy, none	Dina feels accomplished, happy, none
dia592_utt2	Others feel satisfied with the result, full, happy	Glenn feels satisfied with the result, full, happy
dia592_utt3	Others feel powerful, happy and satisfied, wronged	Dina feels powerful, happy and satisfied, wronged
dia592_utt4	Others feel happy, glad, helpful	Dina feels happy, glad, helpful
dia592_utt5	Others feel dry, none, hope to work done	Dina feels dry, none, hope to work done
dia592_utt6	Others feel relieved, overworked, tired	Dina feels relieved, overworked, tired
dia592_utt7	Others feel good about themselves, happy, none	Dina feels good about themselves, happy, none
dia592_utt8	Others feel eager, stuffed full of cake, happy to enjoy the company of others with a celebration cake	Glenn feels eager, stuffed full of cake, happy to enjoy the company of others with a celebration cake
dia593_utt0	Others feel guided, spiritual, good	Jonah feels guided, spiritual, good
dia593_utt1	Others feel none, exact, confident	Jonah feels none, exact, confident
dia593_utt2	Others feel none, exact, confident	Amy feels none, exact, confident
dia593_utt3	Others feel satisfied, very good, none	Amy feels satisfied, very good, none
dia593_utt4	Others feel full, strong, none	Garrett feels full, strong, none
dia593_utt5	Others feel really nothing at all, good, happy to help another	Jonah feels really nothing at all, good, happy to help another
dia593_utt6	Others feel enraged, jittery, nervous	Jonah feels enraged, jittery, nervous
dia593_utt7	Others feel competitive, none, happy	Amy feels competitive, none, happy
dia594_utt0	Others feel none, none, satisfied	Cheyenne feels none, none, satisfied
dia594_utt1	Others feel good about themselves, happy, happy	Nico feels good about themselves, happy, happy
dia594_utt2	Others feel like they made a good decision., glad to have been given importance, good	Nico feels like they made a good decision., glad to have been given importance, good
dia594_utt3	Others feel good about themselves, helpful, informed	Nico feels good about themselves, helpful, informed
dia596_utt0	Others feel calm, none, included	Amy feels calm, none, included
dia596_utt1	Others feel scared, worried, tired	superstore person1 feels scared, worried, tired
dia596_utt2	Others feel none, none, joyed	Jonah feels none, none, joyed
dia598_utt0	Others feel happy, helpful, relieved	superstore person3 feels happy, helpful, relieved
dia598_utt1	Others feel smart, great prod, warm	Glenn feels smart, great prod, warm
dia598_utt2	Others feel well rested, scared, nervous	Dina feels well rested, scared, nervous
dia598_utt3	Others feel none, none, none	Dina feels none, none, none
dia598_utt4	Others feel none, none, sad	superstore person3 feels none, none, sad
dia598_utt5	Others feel none, none, none	Dina feels none, none, none
dia598_utt6	Others feel thankful, satisfied, satisfied	Glenn feels thankful, satisfied, satisfied
dia598_utt7	Others feel upset if they failed, happy if they passed, none	superstore person3 feels upset if they failed, happy if they passed, none
dia601_utt0	Others feel none, none, happy if they passed	Glenn feels none, none, happy if they passed
dia601_utt1	Others feel informed, loving, reassured	Marcus feels informed, loving, reassured
dia601_utt2	Others feel paranoid, indifferent, content	Marcus feels paranoid, indifferent, content
dia601_utt3	Others feel busy, none, scared	Marcus feels busy, none, scared
dia601_utt4	Others feel confident, informed, pretty	Glenn feels confident, informed, pretty
dia601_utt5	Others feel happy, amusing, indifferent	Marcus feels happy, amusing, indifferent
dia601_utt6	Others feel none, thankful, helpful	Glenn feels none, thankful, helpful
dia601_utt7	Others feel none, surprised, sad	Glenn feels none, surprised, sad
dia601_utt8	Others feel at peace, unhealthy, none	Glenn feels at peace, unhealthy, none
dia601_utt9	Others feel none, none, amazed	Marcus feels none, none, amazed
dia601_utt10	Others feel honored, grateful, interested	Marcus feels honored, grateful, interested
dia601_utt11	Others feel satisfied, accomplished, satsfied	Marcus feels satisfied, accomplished, satsfied
dia601_utt12	Others feel like they made a good decision., glad to have been given importance, happy	Glenn feels like they made a good decision., glad to have been given importance, happy
dia601_utt13	Others feel pleased, content, full	Glenn feels pleased, content, full
dia601_utt14	Others feel scared, satisfied, giving	Glenn feels scared, satisfied, giving
dia602_utt0	Others feel none, none, really bad	Dina feels none, none, really bad
dia602_utt1	Others feel accomplished, thankful, none	Marcus feels accomplished, thankful, none
dia603_utt0	Others feel scared., interested excited, good.	Amy feels scared., interested excited, good.
dia603_utt1	Others feel thankful, grateful, pride	Amy feels thankful, grateful, pride
dia603_utt2	Others feel mad, none, happy and being helped	Nico feels mad, none, happy and being helped
dia603_utt3	Others feel interested, healthy, none	Garrett feels interested, healthy, none
dia603_utt4	Others feel excited, harassed, used	Garrett feels excited, harassed, used
dia603_utt5	Others feel like a teacher, satisfied, safe	Nico feels like a teacher, satisfied, safe
dia603_utt6	Others feel happy, festive, lucky	Amy feels happy, festive, lucky
dia603_utt7	Others feel proud, anxious, happy	Amy feels proud, anxious, happy
dia603_utt8	Others feel frustrated, confident, gratitude	Nico feels frustrated, confident, gratitude
dia603_utt9	Others feel none, none, anxious if they would like it	Garrett feels none, none, anxious if they would like it
dia603_utt10	Others feel none, none, anxious if they would like it	Garrett feels none, none, anxious if they would like it
dia606_utt0	Others feel none, worried, disappointed	Jonah feels none, worried, disappointed
dia606_utt1	Others feel happy, helpful, relieved	Amy feels happy, helpful, relieved
dia606_utt2	Others feel helpful, happy, excited	Amy feels helpful, happy, excited
dia606_utt3	Others feel guilty, in love, grateful	Amy feels guilty, in love, grateful
dia606_utt4	Others feel none, thankful, helpful	Jonah feels none, thankful, helpful
dia606_utt5	Others feel good., thankful, affectionate	Jonah feels good., thankful, affectionate
dia606_utt6	Others feel helped, crowded, neutral.	Amy feels helped, crowded, neutral.
dia606_utt7	Others feel hungry, none, none	Amy feels hungry, none, none
dia606_utt8	Others feel satisfied, none, none	Jonah feels satisfied, none, none
dia606_utt9	Others feel tired, industrious, none	Jonah feels tired, industrious, none
dia606_utt10	Others feel satisfied, none, none	Amy feels satisfied, none, none
dia606_utt11	Others feel like they made a good decision., glad to have been given importance, none	Jonah feels like they made a good decision., glad to have been given importance, none
dia606_utt12	Others feel like it's important to tell them just not right now, none, none	Jonah feels like it's important to tell them just not right now, none, none
dia606_utt13	Others feel none, none, secure	Myrtle feels none, none, secure
dia606_utt14	Others feel loved and happy, giddy, responsible	Amy feels loved and happy, giddy, responsible
dia608_utt0	Others feel none, happy, enjoy	Dina feels none, happy, enjoy
dia608_utt1	Others feel none, accomplished, efficient	Glenn feels none, accomplished, efficient
dia608_utt2	Others feel inspired, excited, great, responsible	Glenn feels inspired, excited, great, responsible
dia608_utt3	Others feel satisfied, organized, none	Cheyenne feels satisfied, organized, none
dia608_utt4	Others feel none, mad, none	Nico feels none, mad, none
dia609_utt0	Others feel special, useful, happy	Amy feels special, useful, happy
dia609_utt1	Others feel also happy, proud, joy	Amy feels also happy, proud, joy
dia609_utt2	Others feel happy, industrious, pleased	Marcus feels happy, industrious, pleased
dia609_utt3	Others feel happy, competitive, relief	Amy feels happy, competitive, relief
dia609_utt4	Others feel none, fulfilled, greedy	Marcus feels none, fulfilled, greedy
dia609_utt5	Others feel excited, happy, happy	Amy feels excited, happy, happy
dia609_utt6	Others feel none, none, none	Marcus feels none, none, none
dia609_utt7	Others feel encouraged, like better friends, satisfied	Marcus feels encouraged, like better friends, satisfied
dia609_utt8	Others feel surprised, lonely, happy	Marcus feels surprised, lonely, happy
dia609_utt9	Others feel relieved, helpful, relieved	Amy feels relieved, helpful, relieved
dia609_utt10	Others feel deceived, disgusted by person x's behavior., none	Amy feels deceived, disgusted by person x's behavior., none
dia610_utt0	Others feel none, happy, enjoy	superstore person1 feels none, happy, enjoy
dia610_utt1	Others feel like they made a good decision., glad to have been given importance, fulfilled	superstore person2 feels like they made a good decision., glad to have been given importance, fulfilled
dia610_utt2	Others feel accomplished, nervous, happy	superstore person2 feels accomplished, nervous, happy
dia613_utt0	Others feel none, none, worthless	Nico feels none, none, worthless
dia613_utt1	Others feel mad, none, none	Nico feels mad, none, none
dia613_utt2	Others feel proud of their new guitar, inspired by famous bands, none	Jonah feels proud of their new guitar, inspired by famous bands, none
dia613_utt3	Others feel none, none, tired.	Dina feels none, none, tired.
dia613_utt4	Others feel none, off-kilter, none	Garrett feels none, off-kilter, none
dia613_utt5	Others feel proud, ok, helpful	Dina feels proud, ok, helpful
dia613_utt6	Others feel none, none, none	Garrett feels none, none, none
dia613_utt7	Others feel none, relieved that they did not run out of time, fortunate	Dina feels none, relieved that they did not run out of time, fortunate
dia613_utt8	Others feel none, surprised, energized	Dina feels none, surprised, energized
